stop_date,start_date,duration_time,success_time,success_rate,no_of_stacks,result
2018-11-13 12:34:36.832235,2018-11-13 11:49:14.427491,2370,4,0.8,5,0
2018-11-12 17:59:43.337442,2018-11-12 15:59:43.475646,3254,5,1,5,1
2018-11-12 03:00:38.806761,2018-11-12 02:29:53.823655,1508,1,0.2,5,0
2018-11-11 14:51:02.520871,2018-11-11 14:31:47.804643,773,3,0.6,5,0
2018-11-11 12:39:06.304530,2018-11-11 10:47:20.697890,2705,5,1,5,1
2018-11-10 10:52:00.370302,2018-11-10 10:18:23.606195,1673,3,0.6,5,0
2018-11-10 09:16:46.883517,2018-11-10 09:01:47.953294,452,2,0.4,5,0
2018-11-09 02:31:31.760853,2018-11-09 01:56:10.787870,1783,4,0.8,5,0
2018-11-09 00:10:01.229578,2018-11-08 23:35:39.791581,893,5,1,5,1
2018-11-08 08:42:34.634744,2018-11-08 07:41:00.248475,1350,5,1,5,1
2018-11-08 00:08:11.602353,2018-11-07 23:55:02.485531,400,3,0.6,5,0
2018-11-07 14:01:08.162407,2018-11-07 13:40:20.505605,871,2,0.4,5,0
2018-11-06 21:48:33.300430,2018-11-06 21:34:39.188141,460,4,0.8,5,0
2018-11-06 10:12:27.019449,2018-11-06 09:24:41.657797,2485,1,0.2,5,0
2018-11-06 00:09:16.819943,2018-11-05 23:50:07.130153,737,1,0.2,5,0
2018-11-05 09:32:47.626147,2018-11-05 08:43:39.788065,2624,3,0.6,5,0
2018-11-04 10:20:03.770526,2018-11-04 09:51:32.016580,1392,3,0.6,5,0
2018-11-03 12:12:49.033663,2018-11-03 11:03:52.041823,3661,0,0,5,0
2018-11-02 12:48:13.847065,2018-11-02 12:14:49.723244,1651,1,0.2,5,0
2018-11-01 09:23:14.475955,2018-11-01 08:44:33.557716,1976,2,0.4,5,0
2018-10-31 12:41:22.161788,2018-10-31 11:35:38.488394,3628,0,0,5,0
2018-10-30 06:52:38.569334,2018-10-30 06:23:52.372285,1373,1,0.2,5,0
2018-10-29 07:09:45.000971,2018-10-29 06:33:24.530976,1862,0,0,5,0
2018-10-21 11:31:12.594185,2018-10-21 11:16:00.902542,523,3,0.6,5,0
2018-10-20 02:53:49.296219,2018-10-20 02:38:40.733460,467,3,0.6,5,0
2018-10-17 13:04:15.678790,2018-10-17 12:14:21.886548,1344,5,1,5,1
2018-10-16 18:12:30.421620,2018-10-16 17:04:40.312997,3620,0,0,5,0
2018-10-15 04:34:07.007875,2018-10-15 03:27:10.118865,3625,0,0,5,0
2018-10-15 03:17:10.559373,2018-10-15 00:35:26.273436,9413,0,0,5,0
2018-10-10 14:23:41.231117,2018-10-10 12:29:09.754739,3465,5,1,5,1
2018-10-04 13:39:21.712244,2018-10-04 11:39:49.593347,3227,5,1,5,1
